name, position1, position2, position3, position4, position5, position6
Dice_01,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red-180.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib-180.psd
Dice_02,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red-180.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib-180.psd
Dice_03,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red-180.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm-180.psd
Dice_04,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red-180.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib-180.psd
Dice_05,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red-180.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm-180.psd
Dice_06,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red-180.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm-180.psd
Dice_07,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red-180.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib-180.psd
Dice_08,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red-180.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib-180.psd
Dice_09,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red-180.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm-180.psd
Dice_10,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red-180.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\gym-red.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\arm.psd,D:\PetrVavrinec\Dokumenty\zabava\Hry moje\Gangzzz\2021\symboly-budov-4-kvadrant\lib-180.psd
